English,Dutch
aback,verrast
abacus,abacus
abandon,verlaten
abandoned,verlaten
abandonment,verlatenheid
abate,verminderen
abatement,vermindering
abba,abba
abbot,abt
abbreviate,afkorten
abbreviation,afkorting
abdomen,buik
abdominal,abdominaal
abduction,ontvoering
aberrant,afwijkend
aberration,aberratie
abeyance,onbeheerdheid
abhor,verafschuwen
abhorrent,weerzinwekkend
abide,vertoeven
ability,vermogen
abject,verachtelijk
ablation,verwijdering
ablaze,in lichterlaaie
abnormal,abnormaal
aboard,aan boord
abode,woonplaats
abolish,afschaffen
abolition,afschaffing
abominable,afschuwelijk
abomination,gruwel
aboriginal,inheems
abort,afbreken
abortion,abortus
abortive,vruchteloos
abound,rijk zijn
abovementioned,bovengenoemde
abrasion,schuring
abroad,buitenland
abrogate,opheffen
abrupt,abrupt
abruptly,abrupt
abscess,abces
absence,afwezigheid
absent,afwezig
absentee,afwezige
absenteeism,absenteïsme
absinthe,absint
absolute,absoluut
absolution,absolutie
absorbed,geabsorbeerd
absorbent,absorbens
absorbing,absorberen
absorption,absorptie
abstain,zich onthouden
abstention,onthouding
abstinence,onthouding
abstract,abstract
abstraction,abstractie
absurd,absurd
absurdity,absurditeit
abundance,overvloed
abundant,overvloedig
abuse,misbruik
abutment,bruggehoofd
aby,aby
abysmal,onpeilbaar
abyss,afgrond
academic,academische
academy,academie
accede,toetreden
accelerate,versnellen
acceleration,acceleratie
accent,accent
accentuate,accentueren
accept,aanvaarden
acceptable,aanvaardbaar
acceptance,aanvaarding
access,toegang
accessible,toegankelijk
accession,toetreding
accessory,medeplichtig
accident,ongeval
accidental,toevallig
accidentally,toevallig
accolade,accolade
accommodate,accommoderen
accommodation,accomodatie
accompaniment,begeleiding
accompany,begeleiden
accompanying,vergezellen
accomplice,medeplichtige
accomplish,volbrengen
accomplished,volbracht
accomplishment,vervulling
accord,akkoord
accordance,overeenstemming
accordion,accordeon
account,rekening
accountability,verantwoording
accountable,verantwoordelijk
accountant,accountant
accounting,accounting
accounts,accounts
accredited,geaccrediteerd
accretion,aanwas
accrue,toenemen
accueil,accueil
accumulate,accumuleren
accumulation,ophoping
accuracy,nauwkeurigheid
accurate,accuraat
accursed,vervloekt
accusation,beschuldiging
accusative,accusatief
accused,beschuldigde
accuser,aanklager
accusing,beschuldigen
accustomed,gewend
ace,aas
acetic,azijnzuur
ache,pijn
achieve,bereiken
achievement,prestatie
aching,pijnlijke
acid,zuur
acidity,zuurheid
acknowledge,erkennen
acknowledged,erkend
acknowledgment,erkenning
acme,toppunt
acoustic,akoestisch
acoustics,akoestiek
acquaint,bekend maken
acquaintance,kennismaking
